"sample_id","qfield_project","taxon_name","collector_fullname","observation_subject","name_proposition","date_created"
"dbgi_009012","jbuf","Camassia cusickii S. Watson","Héloïse Coen","Leaf",,"2025-06-16T09:22:47.462Z"
"dbgi_007741","jbuf","Camassia cusickii S. Watson","Héloïse Coen","Flower",,"2025-06-16T09:22:47.554Z"
"dbgi_009000","jbuf","Eremurus stenophyllus (Boiss. et Buhse) Baker subsp. stenophyllus","Héloïse Coen","Leaf",,"2025-06-16T09:22:47.651Z"
"dbgi_009011","jbuf","Allium ampeloprasum L.","Héloïse Coen","Leaf",,"2025-06-16T09:22:47.748Z"
"dbgi_009002","jbuf","Allium obliquum L.","Héloïse Coen","Leaf",,"2025-06-16T09:22:47.850Z"
"dbgi_009007","jbuf","Iris biglumis Vahl.","Héloïse Coen","Leaf",,"2025-06-16T09:22:47.926Z"
"dbgi_008973","jbuf","Iris wattii Baker","Héloïse Coen","Leaf",,"2025-06-16T09:22:48.026Z"
"dbgi_007608","jbuf","Iris wattii Baker","Héloïse Coen","Flower",,"2025-06-16T09:22:48.107Z"
"dbgi_007761","jbuf","Iris crocea R.C. Foster","Héloïse Coen","Leaf",,"2025-06-16T09:22:48.198Z"
"dbgi_007833","jbuf","Hemerocallis multiflora Stout","Héloïse Coen","Leaf",,"2025-06-16T09:22:48.284Z"
"dbgi_007554","jbuf","Lilium lancifolium Thunb.","Héloïse Coen","Leaf",,"2025-06-16T09:22:48.370Z"
"dbgi_007781","jbuf","Bletilla striata (Thunb.) Rchb. f.","Héloïse Coen","Leaf",,"2025-06-16T09:22:48.464Z"
"dbgi_007807","jbuf","Iris hexagona Walter","Héloïse Coen","Leaf",,"2025-06-16T09:22:48.550Z"
"dbgi_007786","jbuf","Agapanthus - Headbourne- Hybriden","Héloïse Coen","Leaf",,"2025-06-16T09:22:48.648Z"
"dbgi_008970","jbuf","Aquilegia einseleana F.W. Schultz","Héloïse Coen","Leaf",,"2025-06-16T09:22:48.736Z"
"dbgi_009014","jbuf","Aquilegia einseleana F.W. Schultz","Héloïse Coen","Flower",,"2025-06-16T09:22:48.806Z"
"dbgi_008879","jbuf","Asperula nitida Sm.","Héloïse Coen","Flower",,"2025-06-16T09:22:48.875Z"
