id;uid;codeBcgi;acceptedDetermination;cultivar;family;ipenCode;site;area;place;groupe;locationType;locationUid;dateDeath;dateDeathPrecision;correspondingName;acquisitionName;provenanceType;genus;infraSpecies;number;species;instituteName
6855f58990c6dd09a39070ec;f2f9ea52-681d-4b6d-b3a4-4ca0ebea50dd;FRIBG;Allium schubertii Zucc.;;Amaryllidaceae;XX-0-FRIBG-20210341;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Sativa Rheinau AG SRAG$;Allium schubertii Zucc.;enum_unknown;Allium;;20210341I0;schubertii;
6855f58990c6dd09a39070f8;131c07b0-2df0-4696-94d3-ccdd44a66ce0;FRIBG;Hemerocallis minor Mill.;;Asphodelaceae;XX-0-FRIBG-19950627;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Jardin Botanique de l'Université FRIBG;Hemerocallis minor Mill.;enum_unknown;Hemerocallis;;19950627I0;minor;
6855f58990c6dd09a39070fd;af107216-3b8c-4ca0-a031-022d65601fe2;FRIBG;Sternbergia lutea (L.) Spreng.;;Amaryllidaceae;XX-0-FRIBG-19950641;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Gauch Jakob GJ$;Sternbergia lutea (L.) Spring.;enum_unknown;Sternbergia;;19950641I0;lutea;
6855f58990c6dd09a3907140;5fc4f6a6-a91a-46b0-bc6a-8cd3da0b7389;FRIBG;Puschkinia scilloides Adams;;Asparagaceae;XX-0-FRIBG-19950640;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Gewiehs Horst Blumenzwiebelhandel GHB$;Puschkinia scilloides Adams;enum_unknown;Puschkinia;;19950640I0;scilloides;
6855f58990c6dd09a390715c;5572ede1-b720-43c6-ab10-e71290cc0cc5;FRIBG;Anticlea elegans Rydb.;;Melanthiaceae;XX-0-FRIBG-19950315;Jardin botanique de l'Université de Fribourg;;Géophytes;4. Amérique;Groupe;bccda8c5-666e-460c-b5d1-cf924de0d5a9;;;Universität Hohenheim Hohenheimer Garten (772) HOH;Anticlea elegans (Pursh) Rydb. s.l.;enum_unknown;Anticlea;;19950315I0;elegans;
6855f58990c6dd09a39071a3;6f649119-60e9-4e88-b236-4c7a038fbaad;FRIBG;Sisyrinchium striatum Sm.;;Iridaceae;XX-0-FRIBG-20020272;Jardin botanique de l'Université de Fribourg;;Géophytes;4. Amérique;Groupe;bccda8c5-666e-460c-b5d1-cf924de0d5a9;;;Botanischer Garten Hamborn Wirtschaftsbetriebe Duisburg - AöR BGHWDAR$;Sisyrinchium striatum Sm.;enum_unknown;Sisyrinchium;;20020272I0;striatum;
6855f58990c6dd09a39071a9;be43fa36-3ef8-402e-9dcf-65c2f23924df;FRIBG;Asphodelus aestivus Brot.;;Asphodelaceae;XX-0-FRIBG-20190162;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Jerusalem Botanical Gardens, The Hebrew University of Jerusalem Dr Ori Fragman-Sapir JBGTHUJDOFS$;Asphodelus aestivus Brot.;enum_unknown;Asphodelus;;20190162I0;aestivus;
6855f58990c6dd09a39071aa;c742bb2f-9476-4cac-82d5-7e3ecf207aec;FRIBG;Crocus etruscus Parl.;;Iridaceae;IT-0-FRIBG-20090237;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Orto Botanico Dip. di Scienze della Vita SIENA;Crocus etruscus Parl.;enum_wild;Crocus;;20090237N0;etruscus;
6855f58990c6dd09a39071ca;98bc6142-17ac-4451-810a-49411cc4c7e8;FRIBG;Lilium henryi Baker;;Liliaceae;XX-0-M-B/0447;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Botanischer Garten München-Nymphenburg Samenversand M;Lilium henryi Baker;enum_unknown;Lilium;;20080055I0;henryi;
6855f58990c6dd09a39071cf;956ccc85-dbf0-40e5-8178-653a1c31b770;FRIBG;Lilium chalcedonicum L.;;Liliaceae;GR-0-FRIBG-20130065;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Botanical Garden GB;Lilium chalcedonicum L.;enum_wildcultivated;Lilium;;20130065C1;chalcedonicum;
6855f58990c6dd09a39071e2;de1daabf-4602-4e4f-a491-d9890f92e8db;FRIBG;Crocus angustifolius Weston;;Iridaceae;XX-0-FRIBG-19950662;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Gewiehs Horst Blumenzwiebelhandel GHB$;Crocus angustifolius Weston;enum_unknown;Crocus;;19950662I0;angustifolius;
6855f58990c6dd09a39071f7;076e7621-dd3d-4af7-b3f4-aa8024008d73;FRIBG;Manfreda virginica (L.) Salisb. ex Rose;;Asparagaceae;US-0-MO-2013-1067;Jardin botanique de l'Université de Fribourg;;Géophytes;4. Amérique;Groupe;bccda8c5-666e-460c-b5d1-cf924de0d5a9;;;Missouri Botanical Garden c/o Katherine Freeman / Plant Records MBGKFPR$;Manfreda virginica (L.) Rose;enum_wild;Manfreda;;20140321N0;virginica;
6855f58990c6dd09a3907201;8e59cf23-278a-453d-a293-fb238e7c74c0;FRIBG;Iris orientalis Mill.;;Iridaceae;XX-0-M-2002/2454;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Botanischer Garten München-Nymphenburg Samenversand M;Iris orientalis Mill.;enum_unknown;Iris;;20080059I0;orientalis;
6855f58990c6dd09a3907225;a614e35b-742c-40e5-b4f7-730b90763085;FRIBG;Iris foetidissima L.;;Iridaceae;FR-0-P-2010g006;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Muséum National d'Histoire Naturelle - DGDMJZ, Banque de graines - BP 45 MNHNBCP$;Iris foetidissima L.;enum_wild;Iris;;20190044N0;foetidissima;
6855f58990c6dd09a390722c;83cd562d-e103-42b8-ba86-f6561fcc0cf4;FRIBG;Allium carinatum subsp. pulchellum Bonnier & Layens;;Amaryllidaceae;CH-0-FRIBG-19950286;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Jardin Botanique de Neuchâtel NEU;Allium carinatum subsp. pulchellum Bonnier et Layens;enum_wild;Allium;pulchellum;19950286N0;carinatum;
6855f58990c6dd09a3907257;a29be117-cbee-4654-b429-1e24d664b566;FRIBG;Iris wattii Baker ex Hook.f.;;Iridaceae;XX-0-FRIBG-20090099;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;William Aviolat Jardin Botanique WAJB$;Iris wattii Hook.f.;enum_unknown;Iris;;20090099I0;wattii;
6855f58990c6dd09a3907271;b48697b4-6a51-476c-b42e-0561aec0c1bb;FRIBG;Scilla bifolia L.;;Asparagaceae;AT-0-FRIBG-20100048;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;University of Salzburg Botanical Garden SZU;Scilla bifolia L.;enum_wild;Scilla;;20100048N0;bifolia;
